掘进机                                       ,客户    ,中铁十二局集团有限公司                                          ,
膨润土系统                                     ,关联    ,壁后补浆系统                                               ,
膨润土系统                                     ,关联    ,二次通风系统                                               ,
膨润土系统                                     ,关联    ,自动导向系统                                               ,
膨润土系统                                     ,关联    ,电视监控系统及电话                                            ,
膨润土系统                                     ,关联    ,初装油                                                  ,
膨润土系统                                     ,关联    ,技术文件                                                 ,
膨润土系统                                     ,关联    ,其它                                                   ,
                                          ,      ,                                                     ,
泡沫注入系统                                    ,关联    ,注浆系统                                                 ,
泡沫注入系统                                    ,关联    ,二次注浆系统                                               ,
泡沫注入系统                                    ,关联    ,壁后补浆系统                                               ,
泡沫注入系统                                    ,关联    ,二次通风系统                                               ,
泡沫注入系统                                    ,关联    ,自动导向系统                                               ,
泡沫注入系统                                    ,关联    ,电视监控系统及电话                                            ,
泡沫注入系统                                    ,关联    ,初装油                                                  ,
泡沫注入系统                                    ,关联    ,技术文件                                                 ,
泡沫注入系统                                    ,关联    ,其它                                                   ,
                                          ,      ,                                                     ,
注浆系统                                      ,关联    ,二次注浆系统                                               ,
注浆系统                                      ,关联    ,壁后补浆系统                                               ,
注浆系统                                      ,关联    ,二次通风系统                                               ,
注浆系统                                      ,关联    ,自动导向系统                                               ,
注浆系统                                      ,关联    ,电视监控系统及电话                                            ,
注浆系统                                      ,关联    ,初装油                                                  ,
注浆系统                                      ,关联    ,技术文件                                                 ,
注浆系统                                      ,关联    ,其它                                                   ,
                                          ,      ,                                                     ,
二次注浆系统                                    ,关联    ,壁后补浆系统                                               ,
二次注浆系统                                    ,关联    ,二次通风系统                                               ,
二次注浆系统                                    ,关联    ,自动导向系统                                               ,
二次注浆系统                                    ,关联    ,电视监控系统及电话                                            ,
二次注浆系统                                    ,关联    ,初装油                                                  ,
二次注浆系统                                    ,关联    ,技术文件                                                 ,
二次注浆系统                                    ,关联    ,其它                                                   ,
                                          ,      ,                                                     ,
壁后补浆系统                                    ,关联    ,二次通风系统                                               ,
壁后补浆系统                                    ,关联    ,自动导向系统                                               ,
壁后补浆系统                                    ,关联    ,电视监控系统及电话                                            ,
壁后补浆系统                                    ,关联    ,初装油                                                  ,
壁后补浆系统                                    ,关联    ,技术文件                                                 ,
壁后补浆系统                                    ,关联    ,其它                                                   ,
                                          ,      ,                                                     ,
二次通风系统                                    ,关联    ,自动导向系统                                               ,
二次通风系统                                    ,关联    ,电视监控系统及电话                                            ,
二次通风系统                                    ,关联    ,初装油                                                  ,
二次通风系统                                    ,关联    ,技术文件                                                 ,
二次通风系统                                    ,关联    ,其它                                                   ,
                                          ,      ,                                                     ,
自动导向系统                                    ,关联    ,电视监控系统及电话                                            ,
自动导向系统                                    ,关联    ,初装油                                                  ,
自动导向系统                                    ,关联    ,技术文件                                                 ,
自动导向系统                                    ,关联    ,其它                                                   ,
                                          ,      ,                                                     ,
电视监控系统及电话                                 ,关联    ,初装油                                                  ,
电视监控系统及电话                                 ,关联    ,技术文件                                                 ,
电视监控系统及电话                                 ,关联    ,其它                                                   ,
                                          ,      ,                                                     ,
初装油                                       ,关联    ,技术文件                                                 ,
初装油                                       ,关联    ,其它                                                   ,
技术文件                                      ,关联    ,其它                                                   ,
                                          ,      ,                                                     ,
推进系统                                      ,      ,数量（台）                                                ,1
推进系统                                      ,所含部件  ,带靴板的推进油缸38根                                          ,
推进系统                                      ,所含部件  ,铰接油缸19根                                              ,
推进系统                                      ,所含部件  ,液压管线                                                 ,
推进系统                                      ,所含部件  ,辅助液压泵站系统1套                                           ,
                                          ,      ,                                                     ,
带靴板的推进油缸38根                               ,关联    ,铰接油缸19根                                              ,
带靴板的推进油缸38根                               ,关联    ,液压管线                                                 ,
带靴板的推进油缸38根                               ,关联    ,辅助液压泵站系统1套                                           ,
                                          ,      ,                                                     ,
铰接油缸19根                                   ,关联    ,液压管线                                                 ,
铰接油缸19根                                   ,关联    ,辅助液压泵站系统1套                                           ,
液压管线                                      ,关联    ,辅助液压泵站系统1套                                           ,
                                          ,      ,                                                     ,
主驱动系统                                     ,数量（台） ,1                                                    ,
主驱动系统                                     ,所含部件  ,完整的主轴承结构1个                                           ,
主驱动系统                                     ,所含部件  ,内外密封系统1套                                             ,
主驱动系统                                     ,所含部件  ,减速机12个                                               ,
主驱动系统                                     ,所含部件  ,电机12个                                                ,
主驱动系统                                     ,所含部件  ,齿轮油润滑系统一套                                            ,
                                          ,      ,                                                     ,
完整的主轴承结构1个                                ,关联    ,内外密封系统1套                                             ,
完整的主轴承结构1个                                ,关联    ,减速机12个                                               ,
完整的主轴承结构1个                                ,关联    ,电机12个                                                ,
完整的主轴承结构1个                                ,关联    ,齿轮油润滑系统一套                                            ,
                                          ,      ,                                                     ,
内外密封系统1套                                  ,关联    ,减速机12个                                               ,
内外密封系统1套                                  ,关联    ,电机12个                                                ,
内外密封系统1套                                  ,关联    ,齿轮油润滑系统一套                                            ,
                                          ,      ,                                                     ,
减速机12个                                    ,关联    ,电机12个                                                ,
减速机12个                                    ,关联    ,齿轮油润滑系统一套                                            ,
电机12个                                     ,关联    ,齿轮油润滑系统一套                                            ,
                                          ,      ,                                                     ,
管片拼装机                                     ,数量（台） ,1                                                    ,
管片拼装机                                     ,所含部件  ,管片拼装机结构1个                                            ,
管片拼装机                                     ,所含部件  ,管片拼装机液压元件 1套                                         ,
管片拼装机                                     ,所含部件  ,管片拼装机控制系统 1套                                         ,
管片拼装机                                     ,所含部件  ,真空吸盘式管片抓取装置 1套                                       ,
管片拼装机                                     ,所含部件  ,拼装机无线控制器1套（配有线控制接口及线）                                ,
                                          ,      ,                                                     ,
管片拼装机结构1个                                 ,关联    ,管片拼装机液压元件1套                                          ,
管片拼装机结构1个                                 ,关联    ,管片拼装机控制系统 1套                                         ,
管片拼装机结构1个                                 ,关联    ,真空吸盘式管片抓取装置 1套                                       ,
管片拼装机结构1个                                 ,关联    ,拼装机无线控制器1套（配有线控制接口及线）                                ,
                                          ,      ,                                                     ,
管片拼装机液压元件1套                               ,关联    ,管片拼装机控制系统1套                                          ,
管片拼装机液压元件1套                               ,关联    ,真空吸盘式管片抓取装置 1套                                       ,
管片拼装机液压元件1套                               ,关联    ,拼装机无线控制器1套（配有线控制接口及线）                                ,
                                          ,      ,                                                     ,
管片拼装机控制系统1套                               ,关联    ,真空吸盘式管片抓取装置1套                                        ,
管片拼装机控制系统1套                               ,关联    ,拼装机无线控制器1套（配有线控制接口及线）                                ,
真空吸盘式管片抓取装置1套                             ,关联    ,拼装机无线控制器1套（配有线控制接口及线）                                ,
                                          ,      ,                                                     ,
管片吊运系统                                    ,数量（台） ,1                                                    ,
管片吊运系统                                    ,所含部件  ,起吊和行走系统1套                                            ,
管片吊运系统                                    ,所含部件  ,真空吸盘式管片抓取装置 1套                                       ,
管片吊运系统                                    ,所含部件  ,辅助吊机1台                                               ,
管片吊运系统                                    ,所含部件  ,卸载器1套（2组）                                            ,
管片吊运系统                                    ,所含部件  ,无线控制系统1套                                             ,
                                          ,      ,                                                     ,
螺旋输送机                                     ,数量（台） ,1                                                    ,
螺旋输送机                                     ,所含部件  ,螺旋输送机壳体及辅件结构1个                                       ,
螺旋输送机                                     ,所含部件  ,螺旋叶片结构1个                                             ,
螺旋输送机                                     ,所含部件  ,应急闸门关闭蓄能器2个                                          ,
螺旋输送机                                     ,所含部件  ,闸门机械部分                                               ,
螺旋输送机                                     ,所含部件  ,闸门液压部分                                               ,
螺旋输送机                                     ,所含部件  ,传感器（压力、行程）1套                                         ,
螺旋输送机                                     ,所含部件  ,螺旋输送机驱动组件及轴承密封系统1套                                   ,
螺旋输送机                                     ,所含部件  ,泡沫注入口8处，土压传感器1个                                      ,
                                          ,      ,                                                     ,
皮带机系统                                     ,数量（台） ,1                                                    ,
皮带机系统                                     ,所含部件  ,皮带机托架及滚筒1套                                           ,
皮带机系统                                     ,所含部件  ,电驱动装置1套                                              ,
皮带机系统                                     ,所含部件  ,皮带及张紧装置1套                                            ,
皮带机系统                                     ,所含部件  ,卸渣装置1个                                               ,
皮带机系统                                     ,所含部件  ,皮带刮板1套                                               ,
皮带机系统                                     ,所含部件  ,皮带清洗装置1套                                             ,
皮带机系统                                     ,所含部件  ,皮带1根                                                 ,
                                          ,      ,                                                     ,
供电系统                                      ,数量（台） ,1                                                    ,
供电系统                                      ,所含部件  ,箱式变压器2台                                              ,
供电系统                                      ,所含部件  ,功率补偿器1套                                              ,
供电系统                                      ,所含部件  ,配电柜1套                                                ,
供电系统                                      ,所含部件  ,照明和应急照明及整机电缆沿设备布置                                    ,
供电系统                                      ,所含部件  ,插座（400V                                              ,230V) 沿设备布置
供电系统                                      ,所含部件  ,紧急停止装置 1套                                            ,
供电系统                                      ,所含部件  ,电缆托盘2个                                               ,
供电系统                                      ,所含部件  ,高压端子箱1个                                              ,
                                          ,      ,                                                     ,
控制系统                                      ,数量（台） ,1                                                    ,
控制系统                                      ,所含部件  ,控制室1个（带空调）                                           ,
控制系统                                      ,所含部件  ,可编程逻辑控制器1套（PLC系统）                                    ,
控制系统                                      ,所含部件  ,地面通信系统1套                                             ,
控制系统                                      ,所含部件  ,数据采集和监控系统1套；                                         ,
                                          ,      ,                                                     ,
水循环系统                                     ,数量（台） ,1                                                    ,
水循环系统                                     ,所含部件  ,清水泵1套                                                ,
水循环系统                                     ,所含部件  ,污水罐1个                                                ,
水循环系统                                     ,所含部件  ,污水泵1台                                                ,
水循环系统                                     ,所含部件  ,隔膜泵2台                                                ,
水循环系统                                     ,所含部件  ,增压泵1台                                                ,
水循环系统                                     ,所含部件  ,进水过滤装置1套                                             ,
水循环系统                                     ,所含部件  ,热交换器1套                                               ,
水循环系统                                     ,所含部件  ,阀、仪表、管路及控制元件等 1套                                     ,
水循环系统                                     ,所含部件  ,双水管卷筒1台，污水管挂架1套                                      ,
                                          ,      ,                                                     ,
油脂系统                                      ,数量（台） ,1                                                    ,
油脂系统                                      ,所含部件  ,主轴承润滑泵1套                                             ,
油脂系统                                      ,所含部件  ,主轴承密封油脂泵1套                                           ,
油脂系统                                      ,所含部件  ,盾尾油脂注入泵1套                                            ,
油脂系统                                      ,所含部件  ,各泵的阀、仪表、管路及控制元件等                                     ,
油脂系统                                      ,所含部件  ,油脂自动注入控制系统 1套                                        ,
油脂系统                                      ,所含部件  ,油脂桶更换吊机1套                                            ,
                                          ,      ,                                                     ,
压缩空气系统                                    ,数量（台） ,1                                                    ,
压缩空气系统                                    ,所含部件  ,工业用空气压缩机2台                                           ,
压缩空气系统                                    ,所含部件  ,储气罐2个                                                ,
压缩空气系统                                    ,所含部件  ,后处理装置1套                                              ,
压缩空气系统                                    ,所含部件  ,相应气阀、仪表、管路及控制元件等1套                                   ,
                                          ,      ,                                                     ,
膨润土系统                                     ,数量（台） ,1                                                    ,
膨润土系统                                     ,所含部件  ,膨润土泵3个                                               ,
膨润土系统                                     ,所含部件  ,膨润土注入管路、阀组                                           ,
                                          ,      ,                                                     ,
泡沫注入系统                                    ,数量（台） ,1                                                    ,
泡沫注入系统                                    ,所含部件  ,泡沫原液泵1台                                              ,
泡沫注入系统                                    ,所含部件  ,泡沫原液倒运泵1台                                            ,
泡沫注入系统                                    ,所含部件  ,泡沫发生器9个                                              ,
泡沫注入系统                                    ,所含部件  ,混合液泵9台                                               ,
泡沫注入系统                                    ,所含部件  ,泡沫注入（主机）管路1套                                         ,
泡沫注入系统                                    ,所含部件  ,泡沫注入（螺旋机）管路1套                                        ,
泡沫注入系统                                    ,所含部件  ,流量计量与调整装置 1套                                         ,
                                          ,      ,                                                     ,
注浆系统                                      ,数量（台） ,1                                                    ,
注浆系统                                      ,所含部件  ,注浆泵3台-SCHWING                                        ,
注浆系统                                      ,所含部件  ,注浆钢管及软管1套                                            ,
注浆系统                                      ,所含部件  ,注浆管清洗装置接口（三通加球阀）1套                                   ,
注浆系统                                      ,所含部件  ,砂浆搅拌罐1个                                              ,
注浆系统                                      ,所含部件  ,相应的电控阀、传感器1套                                         ,
注浆系统                                      ,所含部件  ,注浆泵、砂浆搅拌罐动力单元及控制面板1套                                 ,
                                          ,      ,                                                     ,
二次注浆系统                                    ,数量（台） ,1                                                    ,
二次注浆系统                                    ,所含部件  ,A液泵1台                                                ,
二次注浆系统                                    ,所含部件  ,B液泵1台                                                ,
二次注浆系统                                    ,所含部件  ,B液倒运泵1台                                              ,
二次注浆系统                                    ,所含部件  ,B液罐1个                                                ,
                                          ,      ,                                                     ,
壁后补浆系统                                    ,数量（台） ,1                                                    ,
壁后补浆系统                                    ,所含部件  ,双液注浆泵1台                                              ,
壁后补浆系统                                    ,所含部件  ,搅拌罐1个                                                ,
                                          ,      ,                                                     ,
二次通风系统                                    ,数量（台） ,1                                                    ,
二次通风系统                                    ,所含部件  ,台车风管1套                                               ,
二次通风系统                                    ,所含部件  ,二次风机1个                                               ,
二次通风系统                                    ,所含部件  ,风管储风筒2个                                              ,
二次通风系统                                    ,所含部件  ,风管储风筒更换装置1套                                          ,
                                          ,      ,                                                     ,
自动导向系统                                    ,数量（台） ,1                                                    ,
自动导向系统                                    ,所含部件  ,激光导向系统1套                                             ,
                                          ,      ,                                                     ,
电视监控系统及电话                                 ,数量（台） ,1                                                    ,
电视监控系统及电话                                 ,所含部件  ,摄像头6个                                                ,
电视监控系统及电话                                 ,所含部件  ,彩色显示器1个                                              ,
电视监控系统及电话                                 ,所含部件  ,电话7部                                                 ,
电视监控系统及电话                                 ,所含部件  ,扬声器1套                                                ,
                                          ,      ,                                                     ,
初装油                                       ,数量（台） ,1                                                    ,
初装油                                       ,所含部件  ,液压油、齿轮油                                              ,
                                          ,      ,                                                     ,
技术文件                                      ,数量（台） ,1                                                    ,
技术文件                                      ,所含部件  ,7套书面文件                                               ,
技术文件                                      ,所含部件  ,1套电子文件                                               ,
                                          ,      ,                                                     ,
其它                                        ,数量（台） ,1                                                    ,
其它                                        ,所含部件  ,备用拼装机无线发射器1台                                         ,
其它                                        ,所含部件  ,备用吊机无线发射器1台                                          ,
其它                                        ,所含部件  ,自动加油泵1台                                              ,
其它                                        ,所含部件  ,600m高压电缆                                             ,
其它                                        ,所含部件  ,每台盾构机配备专用工具1套                                        ,
                                          ,      ,                                                     ,
设计任务分工                                    ,部件名称  ,总体                                                   ,
设计任务分工                                    ,部件名称  ,刀盘                                                   ,
设计任务分工                                    ,部件名称  ,盾体                                                   ,
设计任务分工                                    ,部件名称  ,主驱动                                                  ,
设计任务分工                                    ,部件名称  ,螺旋机                                                  ,
设计任务分工                                    ,部件名称  ,拼装机                                                  ,
设计任务分工                                    ,部件名称  ,管片吊机                                                 ,
设计任务分工                                    ,部件名称  ,后配套                                                  ,
设计任务分工                                    ,部件名称  ,电气                                                   ,
设计任务分工                                    ,部件名称  ,液压流体                                                 ,
                                          ,      ,                                                     ,
总体                                        ,负责人   ,陈亮                                                   ,
刀盘                                        ,负责人   ,邓汝群                                                  ,
盾体                                        ,负责人   ,杨运健                                                  ,
主驱动                                       ,负责人   ,韩涛                                                   ,
螺旋机                                       ,负责人   ,廖倩                                                   ,
拼装机                                       ,负责人   ,程晓晓                                                  ,
管片吊机                                      ,负责人   ,唐露                                                   ,
后配套                                       ,负责人   ,杨申平                                                  ,
电气                                        ,负责人   ,陆建华                                                  ,
液压流体                                      ,负责人   ,曾定容                                                  ,
                                          ,      ,                                                     ,
陈亮                                        ,电话    ,15973174523                                          ,
邓汝群                                       ,电话    ,15802602405                                          ,
杨运健                                       ,电话    ,15974250039                                          ,
韩涛                                        ,电话    ,18374991212                                          ,
廖倩                                        ,电话    ,18874874870                                          ,
程晓晓                                       ,电话    ,18670050826                                          ,
唐露                                        ,电话    ,15581641007                                          ,
杨申平                                       ,电话    ,15111161229                                          ,
陆建华                                       ,电话    ,14789798909                                          ,
曾定容                                       ,电话    ,18182100927                                          ,
                                          ,      ,                                                     ,
项目图号                                      ,项目名称  ,土压平衡盾构机                                              ,
项目图号                                      ,项目名称  ,刀盘                                                   ,
项目图号                                      ,项目名称  ,主驱动                                                  ,
项目图号                                      ,项目名称  ,管片拼装机                                                ,
项目图号                                      ,项目名称  ,物料运输系统                                               ,
项目图号                                      ,项目名称  ,前盾                                                   ,
项目图号                                      ,项目名称  ,中盾                                                   ,
项目图号                                      ,项目名称  ,尾盾                                                   ,
项目图号                                      ,项目名称  ,螺旋输送机                                                ,
项目图号                                      ,项目名称  ,皮带输送机                                                ,
项目图号                                      ,项目名称  ,连接桥                                                  ,
项目图号                                      ,项目名称  ,一号拖车                                                 ,
项目图号                                      ,项目名称  ,二号拖车                                                 ,
项目图号                                      ,项目名称  ,三号拖车                                                 ,
项目图号                                      ,项目名称  ,四号拖车                                                 ,
项目图号                                      ,项目名称  ,五号拖车                                                 ,
项目图号                                      ,项目名称  ,六号拖车                                                 ,
项目图号                                      ,项目名称  ,七号拖车                                                 ,
项目图号                                      ,项目名称  ,八号拖车                                                 ,
项目图号                                      ,项目名称  ,液压总装                                                 ,
项目图号                                      ,项目名称  ,流体总装                                                 ,
项目图号                                      ,项目名称  ,电气总装                                                 ,
项目图号                                      ,项目名称  ,导向系统                                                 ,
项目图号                                      ,项目名称  ,工具包                                                  ,
                                          ,      ,                                                     ,
土压平衡盾构机                                   ,生产图号  ,3.07E+12                                             ,
刀盘                                        ,生产图号  ,3.0702E+12                                           ,
主驱动                                       ,生产图号  ,2.4703E+12                                           ,
管片拼装机                                     ,生产图号  ,3.0704E+12                                           ,
物料运输系统                                    ,生产图号  ,3.0706E+12                                           ,
前盾                                        ,生产图号  ,3.0707E+12                                           ,
中盾                                        ,生产图号  ,3.0708E+12                                           ,
尾盾                                        ,生产图号  ,3.0709E+12                                           ,
螺旋输送机                                     ,生产图号  ,3.071E+12                                            ,
皮带输送机                                     ,生产图号  ,3.0711E+12                                           ,
连接桥                                       ,生产图号  ,3.0712E+12                                           ,
一号拖车                                      ,生产图号  ,3.0731E+12                                           ,
二号拖车                                      ,生产图号  ,3.0732E+12                                           ,
三号拖车                                      ,生产图号  ,3.0733E+12                                           ,
四号拖车                                      ,生产图号  ,3.0734E+12                                           ,
五号拖车                                      ,生产图号  ,3.0735E+12                                           ,
六号拖车                                      ,生产图号  ,3.0736E+12                                           ,
七号拖车                                      ,生产图号  ,3.0737E+12                                           ,
八号拖车                                      ,生产图号  ,3.0738E+12                                           ,
液压总装                                      ,生产图号  ,3.075E+12                                            ,
流体总装                                      ,生产图号  ,3.0751E+12                                           ,
电气总装                                      ,生产图号  ,3.0762E+12                                           ,
导向系统                                      ,生产图号  ,70100000000                                          ,
工具包                                       ,生产图号  ,3.0798E+12                                           ,
                                          ,      ,                                                     ,
项目设计进度计划                                  ,任务名称  ,设计周期                                                 ,
项目设计进度计划                                  ,任务名称  ,第一次设计联络                                              ,
项目设计进度计划                                  ,任务名称  ,第二次设计联络                                              ,
项目设计进度计划                                  ,任务名称  ,长周期预投                                                ,
项目设计进度计划                                  ,任务名称  ,刀盘技术文件                                               ,
项目设计进度计划                                  ,任务名称  ,主驱动技术文件                                              ,
项目设计进度计划                                  ,任务名称  ,管片拼装机技术文件                                            ,
项目设计进度计划                                  ,任务名称  ,管片吊运系统                                               ,
项目设计进度计划                                  ,任务名称  ,前中盾技术文件                                              ,
项目设计进度计划                                  ,任务名称  ,盾尾技术文件                                               ,
项目设计进度计划                                  ,任务名称  ,螺旋输送机图纸                                              ,
项目设计进度计划                                  ,任务名称  ,皮带机技术文件                                              ,
项目设计进度计划                                  ,任务名称  ,后配套拖车第一批图纸                                           ,
项目设计进度计划                                  ,任务名称  ,后配套拖车第二批图纸                                           ,
项目设计进度计划                                  ,任务名称  ,液压总装                                                 ,
项目设计进度计划                                  ,任务名称  ,电气总装                                                 ,
                                          ,      ,                                                     ,
设计周期                                      ,理论工期  ,29                                                   ,
设计周期                                      ,开始时间  ,2017/11/28                                           ,
设计周期                                      ,完成时间  ,2017/12/27                                           ,
设计周期                                      ,持续时间  ,30d                                                  ,
设计周期                                      ,责任人   ,陈亮                                                   ,
                                          ,      ,                                                     ,
第一次设计联络                                   ,理论工期  ,2                                                    ,
